,acchr,dayofweek,accmon,accday,num
1,9,4,6,1,1
2,18,6,6,17,1
3,18,6,6,17,1
5,12,1,7,17,1
6,15,3,12,6,1
7,0,1,9,11,1
8,14,1,6,26,1
9,10,1,6,26,1
10,20,2,4,18,1
13,2,1,6,19,1
15,3,4,2,23,1
16,2,7,8,13,1
19,11,2,9,5,1
20,8,1,9,11,1
21,14,1,6,26,1
22,3,1,6,12,1
23,10,1,6,26,1
24,15,7,3,26,1
26,21,5,3,31,1
27,11,3,8,2,1
28,11,3,8,2,1
29,22,2,8,8,1
30,6,2,9,19,1
31,3,7,4,30,1
32,16,3,11,29,1
34,17,7,4,16,1
35,22,7,5,7,1
37,13,1,12,25,1
40,23,6,10,7,1
41,23,6,10,7,1
42,23,6,10,7,1
43,22,2,12,12,1
46,11,6,6,24,1
50,20,1,6,5,1
51,20,1,6,5,1
52,20,2,3,21,1
54,0,1,7,3,1
55,0,1,7,3,1
57,15,3,12,6,1
61,15,3,5,31,1
62,8,4,11,9,1
63,18,3,12,20,1
64,18,3,12,20,1
65,21,3,4,5,1
66,2,6,6,3,1
70,1,1,10,23,1
71,16,7,4,2,1
73,22,2,6,13,1
74,16,5,8,25,1
76,3,1,8,28,1
77,16,3,11,29,1
78,16,3,11,29,1
80,2,7,8,13,1
81,12,3,2,1,1
85,13,5,1,20,1
86,2,7,10,29,1
87,23,6,10,7,1
93,19,3,9,27,1
95,15,6,2,18,1
98,13,2,7,4,1
99,13,2,7,4,1
100,23,4,8,10,1
101,12,2,3,14,1
102,12,1,7,17,1
104,9,5,8,18,1
105,0,1,7,3,1
108,1,1,6,19,1
109,1,7,9,10,1
110,0,3,3,8,1
111,8,4,11,9,1
112,18,3,12,20,1
118,14,6,5,27,1
119,20,3,9,20,1
122,23,3,2,15,1
123,21,3,4,5,1
125,2,6,6,3,1
127,0,6,5,20,1
130,14,6,6,17,1
131,3,1,8,28,1
133,3,4,2,23,1
135,10,4,5,4,1
136,17,6,9,2,1
144,13,5,1,20,1
146,21,6,11,18,1
158,1,4,6,22,1
159,19,3,9,27,1
160,11,2,9,5,1
163,8,1,9,11,1
164,18,3,12,20,1
165,2,1,11,6,1
167,13,5,4,7,1
168,0,2,8,8,1
171,15,3,5,31,1
172,11,6,11,11,1
173,20,2,4,18,1
176,5,4,1,26,1
177,14,5,3,10,1
178,14,7,1,15,1
179,23,3,2,15,1
182,6,2,9,19,1
186,16,5,10,20,1
187,15,7,1,29,1
188,8,3,10,11,1
193,10,1,5,8,1
194,10,1,5,8,1
195,10,1,5,8,1
196,4,6,8,26,1
197,22,2,12,12,1
203,10,1,12,25,1
204,11,2,9,5,1
207,18,3,12,20,1
208,18,3,12,20,1
210,23,4,8,10,1
211,21,2,12,12,1
216,21,7,4,16,1
217,15,3,5,31,1
218,13,7,11,5,1
219,0,7,11,12,1
220,0,3,3,8,1
221,0,3,3,8,1
224,1,7,8,13,1
225,7,5,9,8,1
226,7,2,7,25,1
227,7,2,7,25,1
228,13,6,12,9,1
229,2,2,6,27,1
230,11,3,8,2,1
232,21,7,2,12,1
237,4,1,11,20,1
239,4,7,3,19,1
240,3,1,8,28,1
246,17,6,9,2,1
248,19,4,6,22,1
249,2,7,8,13,1
251,4,1,10,23,1
256,13,7,5,14,1
260,1,4,6,22,1
261,5,7,3,12,1
262,15,3,3,8,1
264,12,1,7,17,1
265,0,2,8,8,1
268,15,2,8,15,1
269,11,7,7,30,1
276,18,7,3,5,1
277,18,7,3,5,1
279,3,7,6,11,1
281,22,2,4,25,1
282,22,2,8,8,1
283,5,6,9,2,1
284,5,6,9,2,1
289,21,6,3,4,1
297,4,1,10,23,1
302,22,4,8,3,1
306,15,3,3,8,1
307,7,2,9,19,1
308,18,3,12,20,1
309,2,1,11,6,1
311,19,5,8,4,1
314,11,7,7,30,1
315,21,4,11,2,1
316,0,1,9,11,1
320,17,6,4,8,1
321,17,6,4,8,1
322,15,7,6,25,1
327,6,7,11,12,1
328,9,7,5,21,1
331,12,6,6,10,1
