,acchr,dayofweek,accmon,accday,num
18376,6,4,8,24,1
18388,0,1,6,19,1
18389,21,5,8,18,1
18393,23,6,4,1,1
18397,2,7,5,7,1
18402,2,1,7,3,1
18403,19,7,7,9,1
18412,12,6,10,7,1
18429,6,1,1,23,1
18430,0,1,1,2,1
18431,1,2,1,17,1
18432,13,4,3,16,1
18439,3,7,6,25,1
18445,0,1,10,23,1
18456,0,1,1,23,1
18458,4,1,7,10,1
18461,4,7,3,26,1
18464,4,2,1,10,1
18465,3,1,1,30,1
18471,2,7,10,8,1
18480,2,1,9,18,1
18485,11,1,8,28,1
18487,2,7,1,1,1
18488,4,1,6,26,1
18496,23,6,11,11,1
18497,19,6,1,21,1
18499,4,7,2,5,1
18501,7,5,7,28,1
18504,4,6,7,1,1
18505,0,7,8,27,1
18516,4,7,5,7,1
18524,23,3,1,4,1
18528,2,1,3,20,1
18529,16,7,4,30,1
18530,1,7,5,7,1
18533,2,3,8,2,1
18534,0,7,9,10,1
18554,0,7,7,23,1
18560,1,7,4,2,1
18563,2,1,5,22,1
18566,1,7,8,6,1
18567,23,6,9,23,1
18573,2,1,3,20,1
18580,1,1,11,6,1
18583,5,6,6,17,1
18599,1,7,9,24,1
18603,0,4,3,23,1
18605,15,5,5,26,1
18606,23,5,5,26,1
18607,1,4,7,13,1
18608,22,7,7,30,1
18609,3,7,8,13,1
18612,3,3,5,17,1
18615,1,7,3,26,1
18616,99,1,5,29,1
18620,3,7,1,1,1
18621,5,7,1,15,1
18631,2,7,3,26,1
18637,20,7,11,5,1
18640,23,5,11,24,1
18642,1,6,11,25,1
18644,5,7,4,9,1
18648,22,2,5,9,1
18649,23,5,5,12,1
18654,19,6,2,4,1
18659,1,7,7,23,1
18662,3,7,11,5,1
18664,1,5,12,1,1
18667,5,1,6,26,1
18668,19,3,8,2,1
18677,99,3,8,9,1
18680,0,7,1,22,1
18681,3,1,3,6,1
18684,3,2,3,14,1
18688,17,6,5,27,1
18691,6,7,7,23,1
18696,3,7,9,17,1
18700,3,6,11,11,1
18708,18,1,8,7,1
18709,3,7,1,8,1
