,acchr,dayofweek,accmon,accday,num
0,17,3,3,22,1
4,23,6,10,7,1
11,15,7,1,29,1
12,15,7,1,29,1
14,18,6,12,16,1
17,19,1,12,25,1
18,15,6,4,22,1
33,18,6,12,16,1
38,13,2,5,30,1
39,13,7,5,14,1
44,20,7,7,2,1
45,17,5,12,29,1
48,5,2,7,4,1
49,5,2,7,4,1
53,11,1,1,16,1
56,15,3,12,6,1
58,15,3,8,2,1
59,12,6,5,13,1
60,17,6,4,8,1
72,16,4,5,4,1
75,23,5,7,7,1
82,13,2,5,30,1
83,8,1,10,30,1
84,8,1,10,30,1
88,20,7,7,2,1
89,17,5,12,29,1
90,12,6,8,19,1
92,5,2,7,4,1
94,20,1,6,5,1
96,15,6,2,18,1
103,12,1,7,17,1
106,0,1,7,3,1
107,14,2,12,5,1
114,17,2,3,7,1
116,5,3,9,13,1
117,16,5,11,3,1
126,16,3,1,11,1
139,10,3,7,26,1
142,5,2,11,7,1
143,19,1,12,25,1
147,20,4,8,3,1
149,2,1,10,16,1
150,6,5,2,24,1
151,6,5,2,24,1
152,6,5,2,24,1
156,20,3,4,26,1
161,7,2,9,19,1
162,7,2,9,19,1
166,2,1,11,6,1
183,20,6,3,4,1
184,23,4,4,6,1
185,20,7,10,8,1
189,9,5,1,20,1
192,19,1,12,25,1
198,20,7,7,2,1
200,20,4,8,3,1
202,18,2,7,11,1
205,18,1,4,17,1
206,16,7,8,20,1
209,13,4,3,9,1
231,16,7,4,2,1
238,17,2,3,7,1
245,18,6,12,16,1
252,4,1,10,23,1
253,18,2,2,21,1
254,14,3,2,8,1
257,20,4,8,3,1
258,17,5,12,29,1
259,11,6,6,24,1
263,13,5,4,7,1
266,9,5,8,18,1
270,18,7,12,24,1
271,18,7,12,24,1
273,14,1,6,26,1
275,20,2,4,18,1
285,17,5,2,17,1
287,17,5,2,17,1
288,0,7,9,24,1
291,19,7,5,28,1
292,20,1,8,14,1
293,18,6,12,16,1
296,5,5,2,3,1
298,13,2,5,30,1
299,5,2,11,7,1
310,10,7,6,4,1
312,5,7,9,3,1
323,18,7,10,1,1
325,9,3,12,27,1
330,16,4,6,1,1
334,9,6,7,1,1
336,14,4,9,28,1
348,5,6,9,2,1
350,16,4,5,4,1
353,13,7,6,11,1
354,16,6,6,17,1
356,22,7,7,30,1
357,13,2,8,8,1
358,13,2,8,8,1
361,17,1,1,9,1
362,22,6,7,29,1
363,20,6,9,16,1
365,20,6,9,16,1
370,3,2,6,6,1
372,18,6,6,17,1
374,19,2,8,1,1
375,19,2,8,1,1
