,acchr,dayofweek,accmon,accday,num
39,13,7,5,14,1
47,12,6,8,19,1
86,2,7,10,29,1
90,12,6,8,19,1
91,12,6,8,19,1
95,15,6,2,18,1
96,15,6,2,18,1
117,16,5,11,3,1
206,16,7,8,20,1
226,7,2,7,25,1
227,7,2,7,25,1
237,4,1,11,20,1
256,13,7,5,14,1
289,21,6,3,4,1
339,10,5,1,27,1
340,10,5,1,27,1
394,13,5,2,24,1
398,16,7,8,20,1
424,10,5,1,27,1
466,13,5,2,24,1
467,13,5,2,24,1
472,16,7,8,20,1
503,18,7,8,6,1
510,2,1,4,3,1
521,18,7,8,6,1
529,2,1,4,3,1
530,12,6,8,19,1
547,1,3,6,28,1
549,18,7,8,6,1
558,2,7,10,29,1
577,23,6,8,26,1
578,23,6,8,26,1
604,2,7,10,29,1
606,2,1,4,3,1
648,1,6,6,3,1
649,1,6,6,3,1
652,23,3,11,15,1
673,22,7,10,29,1
674,22,7,10,29,1
681,1,6,6,3,1
697,22,7,10,29,1
706,16,5,11,3,1
722,21,6,3,4,1
723,21,6,3,4,1
761,2,7,10,1,1
762,2,7,10,1,1
763,2,7,10,1,1
768,19,2,11,7,1
775,23,4,11,9,1
776,23,4,11,9,1
827,16,5,11,3,1
843,21,6,3,4,1
851,2,7,10,8,1
852,2,7,10,8,1
857,4,1,11,20,1
1015,15,4,9,28,1
1037,2,7,10,8,1
1074,15,6,2,18,1
1101,15,4,9,28,1
1102,15,4,9,28,1
1182,19,2,11,7,1
1183,14,6,11,11,1
1192,23,4,11,9,1
1251,1,3,6,28,1
1301,14,6,11,11,1
1326,23,6,8,26,1
1331,13,6,12,30,1
1332,13,6,12,30,1
1350,8,3,6,21,1
1367,2,7,10,8,1
1389,14,6,11,11,1
1419,16,7,8,27,1
1420,16,7,8,27,1
1434,8,3,6,21,1
1444,1,3,6,28,1
1456,23,3,11,15,1
1477,19,2,11,7,1
1509,16,7,8,27,1
1525,8,3,6,21,1
1542,15,3,5,24,1
1550,23,3,11,15,1
1639,7,2,7,25,1
1640,7,2,7,25,1
1660,15,3,5,24,1
1662,15,3,5,24,1
1803,18,2,3,7,1
1809,8,5,3,24,1
1827,17,5,11,24,1
1856,3,7,9,17,1
1877,18,3,10,18,1
1902,12,7,2,19,1
1904,17,4,6,22,1
1905,11,3,6,28,1
1922,16,6,2,11,1
1931,12,4,6,15,1
1945,5,6,3,25,1
1958,13,7,12,3,1
1961,13,1,1,30,1
1989,12,5,5,5,1
2010,15,6,2,25,1
2058,1,1,9,18,1
2069,15,7,9,24,1
2073,16,7,4,9,1
2074,20,2,5,2,1
2091,16,5,1,27,1
2094,20,5,8,11,1
2103,19,2,10,24,1
2108,16,4,11,30,1
2170,19,2,10,10,1
2225,11,3,4,5,1
2256,11,4,7,13,1
2292,1,5,11,24,1
2309,19,5,7,21,1
2315,14,4,12,21,1
2340,21,6,12,2,1
2345,19,3,7,5,1
2346,20,3,7,19,1
2374,20,1,3,6,1
2376,0,7,5,14,1
2381,5,1,10,9,1
2391,11,7,4,16,1
2394,3,7,4,16,1
2411,14,1,1,23,1
2414,18,4,1,12,1
2452,17,1,12,25,1
2492,3,1,11,20,1
2495,16,1,1,30,1
2505,21,2,6,20,1
2510,21,6,11,11,1
2529,20,1,12,18,1
2534,3,1,3,13,1
2538,16,3,5,31,1
2567,1,1,6,19,1
2575,17,2,10,24,1
2586,19,3,7,19,1
2595,13,4,12,21,1
2597,20,4,2,23,1
2599,16,1,3,27,1
2601,22,6,3,11,1
2604,3,7,4,23,1
2617,20,4,9,21,1
2647,20,1,3,13,1
2657,21,4,10,12,1
2670,14,2,10,24,1
2677,16,4,7,27,1
2691,18,4,5,18,1
2702,99,1,10,16,1
2707,7,3,11,15,1
2726,17,3,5,17,1
2728,23,7,7,16,1
2756,18,5,2,3,1
2766,22,5,3,10,1
2768,15,2,4,25,1
2773,12,2,4,18,1
2788,14,2,7,4,1
2790,23,7,6,18,1
2828,15,6,1,7,1
2849,21,7,2,5,1
2856,20,4,4,13,1
2868,8,1,10,2,1
2883,17,3,5,3,1
2884,19,1,5,8,1
2885,9,2,6,20,1
2900,15,1,2,13,1
2903,99,4,4,27,1
2904,1,7,5,21,1
2918,7,4,6,29,1
2936,15,4,5,11,1
2944,13,5,8,4,1
2958,0,2,7,11,1
2963,14,5,7,7,1
2971,22,1,3,6,1
3005,22,4,10,5,1
3024,11,3,8,23,1
3060,16,1,7,10,1
3070,21,5,12,29,1
3093,7,4,6,22,1
3112,6,4,3,23,1
3114,7,4,8,24,1
3127,7,4,11,23,1
3130,13,4,6,8,1
3157,18,2,3,7,1
3158,11,2,3,14,1
3183,20,1,8,28,1
3185,18,3,5,3,1
3196,18,7,2,19,1
3201,17,4,4,27,1
3205,18,7,5,7,1
3211,1,1,6,5,1
3214,20,2,8,1,1
3223,20,2,6,6,1
3243,17,1,8,14,1
3245,0,7,8,13,1
3258,20,1,5,8,1
3266,18,1,9,11,1
3272,13,4,3,23,1
3277,14,2,10,3,1
3278,7,4,12,14,1
3308,12,1,10,30,1
3320,22,6,6,3,1
3338,23,1,10,30,1
3371,22,1,12,11,1
3382,19,7,2,26,1
3386,15,4,5,11,1
3388,1,3,5,10,1
3394,20,2,7,4,1
3426,23,7,2,19,1
3430,1,1,5,15,1
3441,19,5,2,17,1
3450,11,7,7,23,1
3495,15,2,2,21,1
3514,17,3,6,21,1
3526,22,7,9,17,1
3567,18,4,10,12,1
3569,21,3,9,27,1
3575,17,3,12,6,1
3605,8,7,8,27,1
3607,15,2,9,5,1
3611,6,2,10,3,1
3612,19,2,10,10,1
3613,9,7,10,15,1
3623,20,5,3,3,1
3632,19,4,1,26,1
3653,17,1,4,10,1
3654,20,7,3,12,1
3689,20,3,7,12,1
3693,19,3,8,2,1
3694,20,3,8,2,1
3697,7,1,8,7,1
3698,2,2,8,8,1
3704,17,2,7,11,1
3713,5,5,7,28,1
3714,6,1,7,31,1
3718,21,4,8,24,1
3742,8,7,10,1,1
3750,19,5,10,27,1
3762,11,2,12,26,1
3766,9,5,11,10,1
3767,12,5,11,10,1
3781,23,4,12,28,1
3791,20,3,11,1,1
3804,20,5,6,9,1
3813,16,5,8,18,1
3819,12,2,12,19,1
3864,15,1,4,10,1
3871,6,4,3,9,1
3884,7,3,6,21,1
3902,23,7,9,24,1
3933,21,1,11,27,1
3953,14,5,4,7,1
3960,4,1,5,22,1
3978,19,4,10,5,1
4045,16,3,9,20,1
4066,20,3,2,8,1
4114,22,6,2,25,1
4155,16,7,6,25,1
4161,19,7,7,23,1
4233,7,6,11,4,1
4272,10,3,9,20,1
4284,10,1,11,27,1
4291,23,2,5,9,1
4295,17,4,7,27,1
