,acchr,dayofweek,accmon,accday,num
1796,8,2,7,25,1
1799,19,6,8,19,1
1871,17,1,9,11,1
1884,18,4,8,10,1
1890,13,2,7,18,1
1945,5,6,3,25,1
1948,23,6,4,15,1
1955,5,5,8,25,1
1956,13,6,10,7,1
1958,13,7,12,3,1
1961,13,1,1,30,1
1966,22,5,4,28,1
1969,18,2,5,30,1
1971,9,3,7,12,1
1986,12,7,11,5,1
1988,6,6,3,25,1
1989,12,5,5,5,1
1990,7,2,5,9,1
1997,16,5,9,1,1
1998,3,6,9,16,1
1999,15,1,10,9,1
2000,14,7,10,22,1
2007,19,1,2,6,1
2010,15,6,2,25,1
2012,12,6,2,11,1
2014,2,3,4,12,1
2015,2,6,4,22,1
2019,0,7,4,2,1
2023,22,5,5,26,1
2027,21,1,6,26,1
2031,17,3,7,19,1
2032,6,3,8,2,1
2035,10,3,8,16,1
2037,19,5,6,23,1
2042,14,3,8,30,1
2044,23,2,9,5,1
2051,2,7,9,24,1
2064,18,4,11,9,1
2070,9,1,1,2,1
2074,20,2,5,2,1
2075,22,6,5,27,1
2077,17,6,12,30,1
2079,14,7,8,13,1
2080,15,4,6,8,1
2081,9,5,12,15,1
2082,18,4,6,8,1
2084,11,7,2,12,1
2085,13,7,1,15,1
2086,17,3,2,22,1
2091,16,5,1,27,1
2094,20,5,8,11,1
2097,13,1,9,11,1
2100,21,2,6,20,1
2101,22,2,10,3,1
2103,19,2,10,24,1
2108,16,4,11,30,1
2109,15,2,12,12,1
2112,5,4,12,28,1
2117,16,6,2,11,1
2118,15,2,2,14,1
2119,0,3,2,8,1
2120,16,4,3,2,1
2125,14,5,4,28,1
2127,0,1,5,1,1
2129,19,4,5,18,1
2131,6,2,7,4,1
2133,1,2,10,10,1
2136,12,5,6,23,1
2137,17,4,11,23,1
2138,14,3,9,20,1
2145,18,7,3,12,1
2146,18,1,3,20,1
2147,3,5,4,21,1
2150,22,6,5,6,1
2151,20,2,5,16,1
2152,16,5,5,26,1
2153,2,5,6,2,1
2156,16,3,6,14,1
2158,17,5,6,16,1
2161,13,7,7,9,1
2164,21,2,7,4,1
2165,13,7,7,9,1
2166,7,6,8,19,1
2168,22,3,8,9,1
2170,19,2,10,10,1
2171,8,2,12,19,1
2175,18,5,2,24,1
2182,15,7,6,11,1
2186,21,2,10,10,1
2192,9,1,12,11,1
2193,22,7,12,10,1
2204,4,3,7,19,1
2205,9,4,8,3,1
2206,18,7,10,1,1
2207,15,2,12,12,1
2208,19,5,1,13,1
2209,15,1,2,6,1
2211,15,7,2,26,1
2215,13,4,7,6,1
2216,14,1,7,31,1
2217,4,6,8,5,1
2223,21,3,2,8,1
2225,11,3,4,5,1
2227,11,6,5,20,1
2229,5,4,6,8,1
2231,0,5,6,2,1
2235,17,6,9,9,1
2241,15,4,2,9,1
2242,12,5,6,9,1
2246,19,3,10,18,1
2248,1,7,10,1,1
2253,11,4,3,30,1
2257,23,2,6,13,1
2264,15,2,11,28,1
2265,0,7,2,5,1
2274,19,6,2,4,1
2275,0,3,2,22,1
2283,11,7,7,9,1
2285,17,7,9,10,1
2292,1,5,11,24,1
2298,13,1,1,9,1
2302,6,5,7,28,1
2303,11,7,9,3,1
2304,16,4,10,5,1
2305,16,6,10,7,1
2312,14,5,9,1,1
2315,14,4,12,21,1
2316,0,7,1,15,1
2326,22,1,7,31,1
2327,14,2,8,8,1
2328,21,1,8,14,1
2331,6,5,9,8,1
2337,10,6,10,7,1
2338,10,6,11,4,1
2344,8,2,6,13,1
2345,19,3,7,5,1
2346,20,3,7,19,1
2348,16,6,9,2,1
2351,10,4,12,28,1
2356,22,1,10,23,1
2360,13,3,2,8,1
2362,20,7,4,2,1
2363,16,7,5,7,1
2365,5,7,3,12,1
2366,1,4,6,15,1
2367,15,7,5,28,1
2369,22,4,8,31,1
2374,20,1,3,6,1
2375,23,7,4,2,1
2376,0,7,5,14,1
2377,15,6,8,12,1
2384,17,6,10,7,1
2387,7,2,1,10,1
2396,16,1,6,19,1
2411,14,1,1,23,1
2412,23,6,1,14,1
2413,8,5,1,20,1
2418,20,5,3,3,1
2419,15,6,4,8,1
2421,17,3,4,19,1
2423,8,6,4,1,1
2424,16,4,4,6,1
2426,18,2,5,9,1
2427,14,4,6,8,1
2431,16,3,7,26,1
2433,14,3,8,30,1
2434,2,7,9,10,1
2437,11,6,10,7,1
2441,18,4,10,26,1
2444,12,6,11,11,1
2446,17,1,12,11,1
2448,8,2,1,24,1
2449,21,4,7,27,1
2455,7,5,2,17,1
2456,18,3,3,1,1
2461,1,1,4,3,1
2468,9,7,7,2,1
2470,12,2,7,11,1
2471,23,7,6,4,1
2472,11,4,8,17,1
2474,12,2,8,22,1
2477,19,7,6,25,1
2479,11,3,11,1,1
2486,14,2,11,7,1
2489,17,3,11,15,1
2502,1,7,5,14,1
