,acchr,dayofweek,accmon,accday,num
18376,6,4,8,24,1
18377,5,6,11,18,1
18385,20,4,9,28,1
18387,11,6,6,10,1
18388,0,1,6,19,1
18389,21,5,8,18,1
18392,1,1,3,13,1
18393,23,6,4,1,1
18396,2,7,5,14,1
18401,3,7,5,14,1
18402,2,1,7,3,1
18403,19,7,7,9,1
18406,18,4,7,13,1
18408,3,5,7,21,1
18409,20,5,9,8,1
18411,1,7,10,1,1
18412,12,6,10,7,1
18413,1,7,10,29,1
18427,1,1,7,17,1
18429,6,1,1,23,1
18430,0,1,1,2,1
18432,13,4,3,16,1
18442,5,4,7,13,1
18445,0,1,10,23,1
18447,14,6,2,18,1
18448,2,7,2,19,1
18449,5,7,5,28,1
18456,0,1,1,23,1
18458,4,1,7,10,1
18459,21,7,9,3,1
18464,4,2,1,10,1
18465,3,1,1,30,1
18467,5,7,2,19,1
18468,23,7,8,13,1
18471,2,7,10,8,1
18476,1,3,10,4,1
18485,11,1,8,28,1
18486,9,7,10,15,1
18488,4,1,6,26,1
18496,23,6,11,11,1
18497,19,6,1,21,1
18498,4,2,3,7,1
18501,7,5,7,28,1
18503,22,6,6,10,1
18504,4,6,7,1,1
18505,0,7,8,27,1
18516,4,7,5,7,1
18520,23,7,9,3,1
18524,23,3,1,4,1
18528,2,1,3,20,1
18529,16,7,4,30,1
18530,1,7,5,7,1
18531,22,6,7,8,1
18533,2,3,8,2,1
18535,23,5,9,1,1
18542,2,1,2,27,1
18552,4,7,6,4,1
18554,0,7,7,23,1
18558,4,1,2,6,1
18563,2,1,5,22,1
18565,4,1,6,26,1
18566,1,7,8,6,1
18567,23,6,9,23,1
18573,2,1,3,20,1
18574,23,2,6,6,1
18576,3,7,7,9,1
18578,1,7,11,19,1
18580,1,1,11,6,1
18581,19,4,1,26,1
18583,5,6,6,17,1
18584,3,1,7,31,1
18585,6,7,8,27,1
18587,5,1,10,16,1
18592,4,3,11,1,1
18599,1,7,9,24,1
18603,0,4,3,23,1
18604,2,1,1,23,1
18605,15,5,5,26,1
18607,1,4,7,13,1
18608,22,7,7,30,1
18609,3,7,8,13,1
18612,3,3,5,17,1
18615,1,7,3,26,1
18626,0,5,4,14,1
18629,2,1,5,15,1
18630,23,5,6,23,1
18631,2,7,3,26,1
18634,22,6,10,7,1
18637,20,7,11,5,1
18641,3,6,11,11,1
18642,1,6,11,25,1
18647,0,1,2,20,1
18648,22,2,5,9,1
18649,23,5,5,12,1
18650,6,1,7,10,1
18651,2,1,8,14,1
18652,1,6,10,7,1
18654,19,6,2,4,1
18656,19,3,5,31,1
18660,4,1,9,4,1
18662,3,7,11,5,1
18664,1,5,12,1,1
18667,5,1,6,26,1
18668,19,3,8,2,1
18672,0,1,2,6,1
18680,0,7,1,22,1
18683,1,6,3,18,1
18685,3,7,2,5,1
18686,2,6,3,18,1
18688,17,6,5,27,1
18689,2,2,6,27,1
18690,4,1,4,3,1
18691,6,7,7,23,1
18692,0,6,5,27,1
18693,23,6,6,24,1
18694,22,7,7,30,1
18696,3,7,9,17,1
18700,3,6,11,11,1
18702,23,6,12,9,1
18703,23,5,8,4,1
18707,1,1,6,26,1
18708,18,1,8,7,1
18709,3,7,1,8,1
18710,0,6,2,25,1
18718,2,1,6,26,1
18719,12,4,5,11,1
18728,12,2,11,14,1
18733,21,6,7,8,1
18735,12,6,10,14,1
18738,2,7,4,9,1
18739,19,2,7,4,1
18741,0,1,9,11,1
18742,4,1,10,16,1
18745,5,7,1,1,1
18746,2,7,1,22,1
18748,1,4,7,13,1
18749,21,6,7,22,1
18760,2,7,4,9,1
18763,6,7,6,4,1
18764,0,7,7,9,1
18768,4,1,9,4,1
18773,23,5,9,22,1
18776,0,1,1,23,1
18777,1,7,3,26,1
18778,22,6,7,1,1
18780,23,6,6,24,1
18795,11,3,6,7,1
18802,3,1,1,2,1
18804,3,1,7,10,1
18808,1,1,7,3,1
18809,1,7,9,3,1
18811,1,4,9,28,1
18815,3,1,4,24,1
18816,14,7,8,6,1
18817,12,5,11,24,1
18828,1,7,2,5,1
18829,2,6,2,11,1
18831,14,3,8,23,1
18832,4,7,8,27,1
18833,21,2,8,29,1
18834,19,6,11,4,1
18835,2,7,10,8,1
18836,4,6,11,18,1
18837,21,4,11,30,1
18843,22,4,5,25,1
18844,13,6,5,20,1
18846,1,3,6,14,1
18848,2,7,7,30,1
18863,7,1,7,31,1
18865,1,4,8,3,1
18867,18,3,10,4,1
18871,3,1,1,23,1
18872,2,7,2,5,1
18881,19,1,1,23,1
18882,7,7,2,12,1
18883,2,7,4,2,1
18885,2,4,6,29,1
18886,7,7,7,30,1
18887,0,1,7,31,1
18888,2,5,8,4,1
18889,23,1,10,16,1
18891,16,1,10,30,1
18901,3,2,1,10,1
18903,2,2,1,3,1
18906,7,1,3,13,1
18912,3,7,6,4,1
18914,23,7,6,11,1
18915,6,7,5,28,1
18920,21,7,8,6,1
18921,22,6,8,5,1
18923,2,1,8,14,1
18924,2,1,8,21,1
18926,6,6,8,5,1
18928,6,1,10,30,1
18936,10,7,7,23,1
18938,23,6,8,12,1
18942,2,7,11,26,1
18943,5,7,1,1,1
18944,22,6,2,18,1
18946,0,1,5,22,1
18947,23,2,7,4,1
18948,1,2,9,26,1
18950,2,4,10,5,1
18952,6,1,5,15,1
18955,23,1,9,11,1
18957,22,2,11,28,1
18960,0,7,1,22,1
18968,3,7,3,12,1
18969,3,6,3,25,1
18970,0,4,2,23,1
18971,23,4,5,18,1
18972,19,1,5,15,1
18974,2,3,5,31,1
18980,18,2,8,15,1
18994,23,1,1,16,1
18996,1,4,1,12,1
19000,2,2,4,18,1
19002,3,1,4,24,1
19004,13,6,6,24,1
19007,2,5,6,23,1
19009,13,5,8,4,1
19010,3,7,8,27,1
19014,2,7,9,17,1
19019,8,3,10,11,1
19029,23,5,12,8,1
19033,19,7,1,15,1
19034,23,2,3,7,1
19036,0,2,3,14,1
19037,21,5,3,17,1
19039,21,5,4,7,1
19041,9,3,4,19,1
19042,17,6,5,6,1
19043,3,5,5,12,1
19044,22,7,5,21,1
19045,2,1,5,22,1
19046,7,7,6,4,1
19047,1,1,6,5,1
19048,6,7,6,18,1
19049,23,3,6,28,1
19050,19,3,7,12,1
19052,4,1,7,17,1
19055,23,2,10,3,1
19056,2,7,10,8,1
19057,5,7,10,15,1
19058,1,2,10,17,1
19064,6,7,1,1,1
19066,5,2,1,10,1
19067,0,5,1,27,1
19070,99,7,1,29,1
19072,21,7,2,5,1
19073,22,2,2,7,1
19077,23,7,2,12,1
19078,1,1,2,20,1
19079,22,1,2,20,1
19080,2,7,2,12,1
19081,21,2,2,28,1
19082,0,1,3,20,1
19085,99,1,3,6,1
19086,1,1,2,20,1
19087,2,2,3,28,1
19091,21,6,4,1,1
19092,5,7,3,12,1
19093,1,6,4,1,1
19094,20,5,4,14,1
19096,17,1,4,24,1
19097,22,6,5,6,1
19098,1,6,5,6,1
19100,22,6,5,13,1
19101,1,1,5,8,1
19102,20,3,4,5,1
19103,0,6,4,22,1
19104,19,2,5,2,1
19106,1,5,4,21,1
19108,21,7,2,5,1
19110,23,6,5,20,1
19112,18,6,5,6,1
19115,4,7,1,15,1
19121,17,7,6,4,1
19124,22,1,6,12,1
19125,22,3,2,1,1
19127,20,3,5,3,1
19128,1,1,7,24,1
19129,18,1,7,17,1
19132,7,7,7,23,1
19135,17,2,5,23,1
19137,2,7,7,2,1
19138,13,2,7,4,1
19139,0,5,7,7,1
19140,2,7,7,9,1
19141,99,7,5,14,1
19142,15,6,8,19,1
19145,17,7,6,18,1
19146,5,7,6,25,1
19147,20,3,3,8,1
19149,8,7,7,16,1
19150,23,7,7,16,1
19151,3,1,7,24,1
19152,4,1,7,24,1
19154,21,1,8,28,1
19157,2,2,8,8,1
19158,19,4,6,22,1
19159,22,1,9,4,1
19160,3,1,8,21,1
19161,1,6,9,2,1
19163,1,4,9,7,1
19170,0,2,9,19,1
19172,22,1,10,9,1
19173,99,1,10,9,1
19175,23,4,10,19,1
19176,2,1,10,16,1
19177,18,1,8,21,1
19178,23,7,8,27,1
19179,18,2,10,17,1
19180,22,5,9,22,1
19181,3,7,9,24,1
19183,19,7,10,8,1
19184,23,7,10,8,1
19185,20,1,10,9,1
19187,2,7,10,15,1
19191,1,4,11,16,1
19195,21,1,6,12,1
19198,2,7,10,29,1
19199,21,4,11,2,1
19200,2,7,11,5,1
19202,3,6,11,25,1
19205,21,7,10,29,1
19206,2,1,10,30,1
19207,2,1,10,30,1
19208,5,1,10,30,1
19213,99,4,11,9,1
19214,18,4,11,9,1
19215,1,6,11,11,1
19226,3,5,12,15,1
19227,3,5,12,22,1
19228,23,7,12,24,1
19229,3,1,12,4,1
19230,14,2,12,5,1
19232,15,1,1,23,1
19258,19,1,7,31,1
19262,2,1,2,13,1
19263,2,6,5,20,1
19264,18,5,3,17,1
19266,15,5,6,16,1
19267,1,1,6,19,1
19268,3,7,8,27,1
19273,1,6,7,29,1
19275,1,1,11,20,1
19278,23,5,9,22,1
19280,0,3,5,24,1
19283,22,3,10,25,1
19293,1,7,2,26,1
19294,5,2,2,21,1
19297,17,4,3,30,1
19306,3,7,4,16,1
19309,22,6,4,22,1
19313,6,1,4,3,1
19314,2,7,5,7,1
