,acchr,dayofweek,accmon,accday,num
3486,22,1,1,16,1
3487,7,3,2,1,1
3488,15,1,2,6,1
3493,18,6,2,11,1
3495,15,2,2,21,1
3497,5,4,3,23,1
3500,2,5,4,14,1
3501,16,4,4,20,1
3503,8,6,5,6,1
3504,8,1,5,15,1
3505,15,1,5,15,1
3508,6,4,6,8,1
3509,19,6,6,10,1
3516,2,7,7,2,1
3518,16,3,8,23,1
3519,16,4,8,24,1
3524,5,3,9,13,1
3525,3,1,9,18,1
3526,22,7,9,17,1
3527,6,7,10,22,1
3529,1,6,11,18,1
3530,17,1,11,20,1
3532,11,5,12,1,1
3534,18,3,3,22,1
3540,15,5,12,29,1
3542,14,5,1,27,1
3544,15,7,1,22,1
3547,13,1,3,13,1
3549,7,2,2,14,1
3550,21,4,3,30,1
3552,3,7,3,12,1
3553,20,6,3,25,1
3555,22,4,5,11,1
3559,6,5,6,16,1
3560,13,6,6,17,1
3561,19,2,8,15,1
3563,2,4,9,7,1
3564,7,3,9,20,1
3565,5,3,8,9,1
3566,19,5,9,15,1
3567,18,4,10,12,1
3569,21,3,9,27,1
3570,5,3,10,11,1
3571,17,4,10,19,1
3575,17,3,12,6,1
3576,12,2,11,28,1
3578,20,3,11,1,1
3580,14,7,11,5,1
3583,8,6,1,7,1
3586,6,3,1,25,1
3588,7,3,3,8,1
3596,14,7,6,4,1
3600,18,1,7,17,1
3603,10,6,7,29,1
3604,7,5,4,14,1
3607,15,2,9,5,1
3611,6,2,10,3,1
3612,19,2,10,10,1
3613,9,7,10,15,1
3623,20,5,3,3,1
3625,16,3,1,4,1
3627,11,7,1,8,1
3635,11,7,2,5,1
3636,23,1,2,13,1
3638,7,1,2,20,1
3642,0,1,3,6,1
3643,23,5,2,17,1
3652,19,2,4,4,1
3653,17,1,4,10,1
3654,20,7,3,12,1
3657,2,6,5,6,1
3660,2,3,4,5,1
3662,22,1,2,13,1
3667,17,6,5,20,1
3672,8,3,5,31,1
3677,10,1,5,29,1
3680,15,2,6,13,1
3681,4,3,6,14,1
3682,18,3,6,14,1
3683,10,7,6,11,1
3687,4,6,4,29,1
3688,18,7,6,11,1
3689,20,3,7,12,1
3690,22,1,3,20,1
