,acchr,dayofweek,accmon,accday,num
1784,8,3,8,30,1
1785,21,5,3,10,1
1786,16,2,5,30,1
1787,14,4,1,26,1
1788,8,4,1,19,1
1789,17,1,5,15,1
1790,7,5,11,10,1
1792,17,1,1,16,1
1794,19,3,4,19,1
1796,8,2,7,25,1
1797,17,2,12,12,1
1799,19,6,8,19,1
1800,18,2,10,31,1
1801,10,7,1,22,1
1802,9,1,1,30,1
1803,18,2,3,7,1
1804,20,4,6,8,1
1805,14,4,12,28,1
1807,14,7,12,3,1
1808,13,7,10,29,1
1810,19,5,4,7,1
1811,9,1,4,24,1
1812,18,1,11,6,1
1813,21,4,7,20,1
1815,8,6,3,4,1
1816,19,2,5,30,1
1818,19,6,6,10,1
1819,18,7,7,30,1
1820,13,4,8,17,1
1821,11,7,11,19,1
1822,17,5,12,1,1
1825,21,5,7,21,1
1826,13,3,7,5,1
1827,17,5,11,24,1
1828,15,2,11,28,1
1829,16,2,12,26,1
1832,17,2,3,21,1
1834,21,2,7,4,1
1835,19,6,7,1,1
1837,21,1,6,26,1
1838,20,1,7,10,1
1839,15,4,9,14,1
1840,0,1,2,27,1
1841,17,5,8,18,1
1842,7,7,10,1,1
1844,13,2,3,21,1
1845,20,1,4,17,1
1846,22,5,7,21,1
1847,17,2,6,13,1
1848,20,4,10,5,1
1849,20,7,10,15,1
1850,23,3,12,20,1
1852,18,4,7,6,1
1853,11,4,6,22,1
1855,20,6,8,26,1
1856,3,7,9,17,1
1857,9,7,6,25,1
1858,16,1,5,15,1
1860,20,1,9,4,1
1861,8,4,9,28,1
1862,12,7,10,22,1
1864,18,4,11,9,1
1865,22,6,3,11,1
1866,19,6,2,11,1
1868,19,6,9,30,1
1870,21,5,8,11,1
1871,17,1,9,11,1
1873,12,2,7,25,1
1874,12,7,10,15,1
1875,18,1,5,8,1
1877,18,3,10,18,1
1880,16,5,6,16,1
1881,16,2,5,30,1
1882,14,4,6,1,1
1883,15,4,5,11,1
1884,18,4,8,10,1
1885,14,7,5,21,1
1886,11,5,6,2,1
1887,14,1,6,5,1
1888,6,3,11,1,1
1890,13,2,7,18,1
1891,15,5,4,14,1
1893,22,6,12,16,1
1894,15,6,12,16,1
1895,7,4,2,16,1
1896,16,2,5,9,1
1897,19,3,6,28,1
1898,6,1,8,7,1
1899,8,1,11,6,1
1902,12,7,2,19,1
1903,16,1,4,17,1
1904,17,4,6,22,1
1905,11,3,6,28,1
1906,17,4,6,1,1
1908,23,2,8,8,1
1909,20,7,11,26,1
1910,19,1,8,28,1
1911,13,2,8,15,1
1913,20,5,3,17,1
1914,22,7,5,14,1
1915,17,2,5,9,1
1916,20,2,7,18,1
1917,16,4,10,26,1
1918,18,1,9,4,1
1919,15,3,5,10,1
1920,16,4,8,17,1
1921,17,5,11,17,1
1922,16,6,2,11,1
1923,16,4,1,5,1
1924,17,3,6,7,1
1925,11,7,10,29,1
1926,16,5,12,1,1
1927,13,7,12,31,1
1928,21,2,5,9,1
1929,10,6,7,8,1
1930,14,7,2,19,1
1931,12,4,6,15,1
1932,21,1,8,21,1
1933,6,6,9,23,1
1934,7,4,7,20,1
1937,14,6,9,9,1
1938,1,2,12,26,1
1945,5,6,3,25,1
1947,20,4,4,6,1
1948,23,6,4,15,1
1955,5,5,8,25,1
1956,13,6,10,7,1
1958,13,7,12,3,1
1960,19,5,1,13,1
1961,13,1,1,30,1
1962,7,5,1,13,1
1964,11,1,2,20,1
1966,22,5,4,28,1
1969,18,2,5,30,1
1971,9,3,7,12,1
1972,16,5,7,28,1
1986,12,7,11,5,1
1988,6,6,3,25,1
1989,12,5,5,5,1
1990,7,2,5,9,1
1995,5,4,7,6,1
1997,16,5,9,1,1
1998,3,6,9,16,1
1999,15,1,10,9,1
2000,14,7,10,22,1
2005,19,6,1,14,1
2007,19,1,2,6,1
2008,7,5,2,10,1
2010,15,6,2,25,1
2012,12,6,2,11,1
2014,2,3,4,12,1
2015,2,6,4,22,1
2016,22,7,4,16,1
2019,0,7,4,2,1
2021,8,4,2,9,1
2023,22,5,5,26,1
2027,21,1,6,26,1
2028,18,1,4,10,1
2031,17,3,7,19,1
2032,6,3,8,2,1
2034,11,4,8,10,1
2035,10,3,8,16,1
2037,19,5,6,23,1
2038,1,2,2,14,1
2042,14,3,8,30,1
2043,4,2,6,27,1
2044,23,2,9,5,1
2045,21,2,10,3,1
2047,21,3,10,18,1
2048,21,6,10,7,1
2051,2,7,9,24,1
2055,21,1,10,2,1
2056,18,3,11,15,1
2058,1,1,9,18,1
2060,19,3,10,25,1
2064,18,4,11,9,1
2066,20,5,12,29,1
2068,18,7,12,31,1
2070,9,1,1,2,1
2072,14,6,1,28,1
2073,16,7,4,9,1
2074,20,2,5,2,1
2075,22,6,5,27,1
2077,17,6,12,30,1
2078,0,7,1,8,1
2079,14,7,8,13,1
2080,15,4,6,8,1
2081,9,5,12,15,1
2082,18,4,6,8,1
2084,11,7,2,12,1
2085,13,7,1,15,1
2086,17,3,2,22,1
2089,23,6,4,1,1
2090,20,2,4,11,1
2091,16,5,1,27,1
2092,4,3,6,14,1
2094,20,5,8,11,1
2097,13,1,9,11,1
2099,6,4,10,5,1
2100,21,2,6,20,1
2101,22,2,10,3,1
2102,19,7,10,22,1
2103,19,2,10,24,1
2104,15,2,10,24,1
2105,20,4,10,12,1
2108,16,4,11,30,1
2109,15,2,12,12,1
2112,5,4,12,28,1
2113,13,3,12,27,1
2116,19,6,1,14,1
2117,16,6,2,11,1
2118,15,2,2,14,1
2119,0,3,2,8,1
2120,16,4,3,2,1
2124,15,7,4,9,1
2125,14,5,4,28,1
2127,0,1,5,1,1
2129,19,4,5,18,1
2131,6,2,7,4,1
2133,1,2,10,10,1
2136,12,5,6,23,1
2137,17,4,11,23,1
2138,14,3,9,20,1
2142,12,7,12,24,1
