,acchr,dayofweek,accmon,accday,num
1796,8,2,7,25,1
1799,19,6,8,19,1
1945,5,6,3,25,1
1969,18,2,5,30,1
1971,9,3,7,12,1
1988,6,6,3,25,1
1989,12,5,5,5,1
1990,7,2,5,9,1
1991,14,6,5,20,1
1997,16,5,9,1,1
1998,3,6,9,16,1
1999,15,1,10,9,1
2000,14,7,10,22,1
2007,19,1,2,6,1
2010,15,6,2,25,1
2014,2,3,4,12,1
2015,2,6,4,22,1
2017,2,7,3,26,1
2019,0,7,4,2,1
2022,14,4,5,18,1
2023,22,5,5,26,1
2027,21,1,6,26,1
2031,17,3,7,19,1
2032,6,3,8,2,1
2035,10,3,8,16,1
2037,19,5,6,23,1
2042,14,3,8,30,1
2051,2,7,9,24,1
2057,18,4,11,23,1
2064,18,4,11,9,1
2065,8,5,7,28,1
2079,14,7,8,13,1
2081,9,5,12,15,1
2082,18,4,6,8,1
2094,20,5,8,11,1
2097,13,1,9,11,1
2100,21,2,6,20,1
2101,22,2,10,3,1
2103,19,2,10,24,1
2117,16,6,2,11,1
2118,15,2,2,14,1
2119,0,3,2,8,1
2120,16,4,3,2,1
2127,0,1,5,1,1
2136,12,5,6,23,1
2138,14,3,9,20,1
2141,0,6,10,28,1
2146,18,1,3,20,1
2148,18,4,3,23,1
2150,22,6,5,6,1
2151,20,2,5,16,1
2152,16,5,5,26,1
2153,2,5,6,2,1
2156,16,3,6,14,1
2158,17,5,6,16,1
2161,13,7,7,9,1
2165,13,7,7,9,1
2166,7,6,8,19,1
2168,22,3,8,9,1
2171,8,2,12,19,1
2208,19,5,1,13,1
2209,15,1,2,6,1
2211,15,7,2,26,1
2215,13,4,7,6,1
2216,14,1,7,31,1
2217,4,6,8,5,1
2223,21,3,2,8,1
2224,21,7,4,2,1
2225,11,3,4,5,1
2231,0,5,6,2,1
2241,15,4,2,9,1
2242,12,5,6,9,1
2245,22,4,9,28,1
2246,19,3,10,18,1
2248,1,7,10,1,1
2253,11,4,3,30,1
2257,23,2,6,13,1
2264,15,2,11,28,1
2265,0,7,2,5,1
2267,6,2,8,15,1
2268,15,4,9,7,1
2278,12,7,4,16,1
2298,13,1,1,9,1
2299,11,3,2,1,1
2302,6,5,7,28,1
2303,11,7,9,3,1
2304,16,4,10,5,1
2316,0,7,1,15,1
2317,13,2,1,10,1
2319,13,1,2,27,1
2323,15,6,5,27,1
2325,21,5,7,28,1
2326,22,1,7,31,1
2327,14,2,8,8,1
2328,21,1,8,14,1
2331,6,5,9,8,1
2337,10,6,10,7,1
2338,10,6,11,4,1
2339,14,3,11,8,1
2340,21,6,12,2,1
2374,20,1,3,6,1
2375,23,7,4,2,1
2376,0,7,5,14,1
2377,15,6,8,12,1
2382,19,6,10,7,1
2384,17,6,10,7,1
2387,7,2,1,10,1
2390,9,1,3,6,1
2391,11,7,4,16,1
2396,16,1,6,19,1
2407,8,1,12,11,1
2408,17,4,12,14,1
2418,20,5,3,3,1
2422,11,7,4,16,1
2423,8,6,4,1,1
2424,16,4,4,6,1
2426,18,2,5,9,1
2427,14,4,6,8,1
2431,16,3,7,26,1
2433,14,3,8,30,1
2448,8,2,1,24,1
2449,21,4,7,27,1
2461,1,1,4,3,1
2470,12,2,7,11,1
2471,23,7,6,4,1
2472,11,4,8,17,1
2476,17,6,9,30,1
2479,11,3,11,1,1
2483,12,6,9,30,1
2492,3,1,11,20,1
2500,16,2,4,4,1
2504,12,5,6,2,1
2508,17,5,9,1,1
2513,16,3,11,29,1
2519,16,1,1,23,1
2520,19,1,3,6,1
2523,21,2,7,18,1
2525,1,6,8,19,1
2529,20,1,12,18,1
2535,18,7,3,26,1
2537,6,2,4,25,1
2538,16,3,5,31,1
2547,17,2,7,11,1
2554,5,1,9,18,1
2559,15,3,2,15,1
2560,20,5,3,17,1
2562,10,5,4,28,1
2563,1,5,4,28,1
2565,6,4,5,25,1
2566,5,4,6,8,1
2569,14,3,7,5,1
2573,10,7,10,29,1
2574,7,2,11,7,1
2590,7,5,10,20,1
2596,13,7,2,5,1
2597,20,4,2,23,1
2601,22,6,3,11,1
2610,4,3,7,5,1
2616,22,7,9,10,1
2618,23,7,9,3,1
2647,20,1,3,13,1
2653,10,5,8,11,1
2654,6,3,8,16,1
2656,20,1,9,4,1
2657,21,4,10,12,1
2667,16,2,7,18,1
2670,14,2,10,24,1
2673,23,2,4,4,1
2686,17,2,1,31,1
2687,16,4,2,9,1
2689,15,2,4,25,1
2691,18,4,5,18,1
2692,22,1,6,5,1
2695,18,7,7,16,1
2696,19,2,7,18,1
2698,17,4,8,17,1
2704,0,2,10,24,1
2713,0,6,7,29,1
2717,4,1,9,4,1
2725,18,5,4,7,1
2728,23,7,7,16,1
2741,2,1,4,24,1
2742,16,2,4,25,1
2750,15,2,11,14,1
2756,18,5,2,3,1
2759,19,6,3,4,1
