,acchr,dayofweek,accmon,accday,num
1871,17,1,9,11,1
1884,18,4,8,10,1
1890,13,2,7,18,1
1952,13,7,7,23,1
1966,22,5,4,28,1
1971,9,3,7,12,1
1977,9,7,8,20,1
1986,12,7,11,5,1
1988,6,6,3,25,1
1999,15,1,10,9,1
2000,14,7,10,22,1
2019,0,7,4,2,1
2023,22,5,5,26,1
2032,6,3,8,2,1
2035,10,3,8,16,1
2065,8,5,7,28,1
2075,22,6,5,27,1
2080,15,4,6,8,1
2084,11,7,2,12,1
2086,17,3,2,22,1
2101,22,2,10,3,1
2117,16,6,2,11,1
2119,0,3,2,8,1
2127,0,1,5,1,1
2145,18,7,3,12,1
2164,21,2,7,4,1
2166,7,6,8,19,1
2171,8,2,12,19,1
2205,9,4,8,3,1
2209,15,1,2,6,1
2216,14,1,7,31,1
2223,21,3,2,8,1
2235,17,6,9,9,1
2241,15,4,2,9,1
2253,11,4,3,30,1
2271,17,6,1,28,1
2285,17,7,9,10,1
2302,6,5,7,28,1
2303,11,7,9,3,1
2328,21,1,8,14,1
2331,6,5,9,8,1
2338,10,6,11,4,1
2339,14,3,11,8,1
2362,20,7,4,2,1
2366,1,4,6,15,1
2367,15,7,5,28,1
2375,23,7,4,2,1
2377,15,6,8,12,1
2384,17,6,10,7,1
2390,9,1,3,6,1
2444,12,6,11,11,1
2455,7,5,2,17,1
2467,17,6,6,24,1
2468,9,7,7,2,1
2470,12,2,7,11,1
2474,12,2,8,22,1
2483,12,6,9,30,1
2486,14,2,11,7,1
2489,17,3,11,15,1
2525,1,6,8,19,1
2535,18,7,3,26,1
2537,6,2,4,25,1
2547,17,2,7,11,1
2554,5,1,9,18,1
2560,20,5,3,17,1
2565,6,4,5,25,1
2569,14,3,7,5,1
2596,13,7,2,5,1
2607,17,7,6,4,1
2609,20,4,7,20,1
2616,22,7,9,10,1
2618,23,7,9,3,1
2620,19,3,9,27,1
2649,16,5,4,14,1
2653,10,5,8,11,1
2658,17,3,10,18,1
2678,23,3,8,30,1
2680,15,7,10,8,1
2683,20,5,11,24,1
2687,16,4,2,9,1
2689,15,2,4,25,1
2696,19,2,7,18,1
2704,0,2,10,24,1
2715,7,4,8,17,1
2736,14,3,11,8,1
2737,99,3,11,8,1
2739,10,2,12,5,1
2774,18,3,3,1,1
2778,17,1,6,5,1
2811,1,1,11,6,1
2816,15,5,11,17,1
2818,10,6,12,9,1
2825,15,3,5,17,1
2843,4,3,8,2,1
2845,17,4,1,5,1
2846,15,1,2,13,1
2859,16,7,4,30,1
2869,17,3,10,11,1
2870,20,3,11,1,1
2873,0,2,12,12,1
2877,15,2,2,14,1
2910,18,5,2,17,1
2914,17,6,5,6,1
2921,14,5,8,11,1
2923,16,3,9,20,1
2930,10,3,9,27,1
2935,9,3,5,3,1
2945,23,7,8,13,1
2953,15,6,11,25,1
2962,16,2,6,13,1
2967,16,7,2,12,1
2977,15,4,6,1,1
3008,13,7,12,3,1
3012,16,4,9,28,1
3016,23,4,4,6,1
3019,1,3,6,14,1
3021,1,6,5,6,1
3040,1,4,5,11,1
3046,13,4,8,3,1
3059,16,1,5,22,1
3061,7,6,7,29,1
3080,7,5,2,24,1
3083,9,6,3,18,1
3092,18,6,6,10,1
3113,22,7,6,25,1
3123,5,5,7,7,1
3132,21,6,10,14,1
3144,15,6,7,15,1
3167,17,3,1,4,1
3177,7,3,4,26,1
3184,16,3,5,3,1
3186,14,4,9,14,1
3199,16,1,4,24,1
3213,15,2,8,22,1
3228,23,3,2,15,1
3231,14,6,4,15,1
3236,18,3,5,24,1
3242,23,2,7,18,1
3270,0,3,12,6,1
3273,18,2,6,20,1
3282,16,4,2,9,1
3293,7,3,4,5,1
3294,18,7,4,9,1
3315,6,4,12,28,1
3316,13,3,12,27,1
3321,17,1,2,27,1
3323,15,3,3,29,1
3324,7,5,1,20,1
3325,7,5,4,7,1
3333,13,7,10,1,1
3336,2,7,9,3,1
3361,18,6,8,5,1
3365,21,1,8,7,1
3367,16,4,10,5,1
3387,0,2,5,30,1
3396,15,6,7,29,1
3411,23,5,12,1,1
3425,11,2,10,31,1
3440,10,3,2,1,1
3447,17,4,6,1,1
3466,6,6,5,6,1
3467,11,2,6,20,1
3475,20,2,8,29,1
3476,17,7,9,10,1
3487,7,3,2,1,1
3488,15,1,2,6,1
3490,12,6,2,18,1
3493,18,6,2,11,1
3497,5,4,3,23,1
3505,15,1,5,15,1
3516,2,7,7,2,1
3524,5,3,9,13,1
3530,17,1,11,20,1
3542,14,5,1,27,1
3544,15,7,1,22,1
3549,7,2,2,14,1
3550,21,4,3,30,1
3553,20,6,3,25,1
3560,13,6,6,17,1
3561,19,2,8,15,1
3565,5,3,8,9,1
3566,19,5,9,15,1
3571,17,4,10,19,1
3578,20,3,11,1,1
3580,14,7,11,5,1
3586,6,3,1,25,1
3589,12,3,3,8,1
3600,18,1,7,17,1
3603,10,6,7,29,1
3625,16,3,1,4,1
3634,3,6,1,28,1
3639,14,3,2,15,1
3655,14,5,4,7,1
3660,2,3,4,5,1
3662,22,1,2,13,1
3665,17,2,5,16,1
3672,8,3,5,31,1
3677,10,1,5,29,1
3680,15,2,6,13,1
3683,10,7,6,11,1
3687,4,6,4,29,1
3696,2,2,8,8,1
3700,19,6,7,29,1
3703,13,2,7,11,1
3711,13,1,6,26,1
3721,5,6,7,1,1
3722,5,1,7,3,1
3725,7,1,8,28,1
3727,23,7,8,27,1
3735,10,3,10,11,1
3740,20,6,9,16,1
3741,8,3,9,20,1
3743,7,7,10,8,1
3753,7,2,12,5,1
3757,7,3,11,1,1
3769,2,2,11,21,1
