,acchr,dayofweek,accmon,accday,num
66033,4,6,6,17,1
66034,21,2,1,3,1
66035,11,3,3,1,1
66036,21,6,11,4,1
66037,21,6,11,4,1
66038,16,7,12,10,1
66039,8,7,10,8,1
66040,14,7,5,14,1
66041,14,5,9,15,1
66042,20,6,10,28,1
66043,6,1,1,16,1
66044,18,7,4,23,1
66045,23,7,5,7,1
66046,17,3,6,21,1
66047,14,2,9,12,1
66048,18,7,1,1,1
66049,12,1,4,24,1
66050,12,5,10,27,1
66051,12,5,10,27,1
66052,19,6,10,28,1
66053,8,2,7,4,1
66054,10,3,9,6,1
66055,7,4,11,30,1
66056,14,7,5,14,1
66057,13,3,12,27,1
66058,3,4,4,6,1
66059,16,6,3,4,1
66060,14,6,5,6,1
66061,7,2,5,2,1
66062,20,6,10,28,1
66063,8,7,9,3,1
66064,8,3,12,6,1
66065,19,3,5,17,1
66066,18,5,8,25,1
66067,18,6,12,2,1
66068,17,6,5,6,1
66069,3,2,2,14,1
66071,2,1,2,27,1
66072,19,6,5,20,1
66073,23,7,5,7,1
66074,1,2,8,1,1
66075,20,6,9,2,1
66076,20,6,9,2,1
66077,21,5,9,1,1
66078,1,1,8,28,1
66079,9,2,11,28,1
66080,21,2,7,25,1
66081,17,2,11,14,1
66082,6,7,5,7,1
66083,0,2,11,7,1
66084,15,6,1,21,1
66085,11,1,2,6,1
66089,0,5,9,22,1
66090,19,7,10,8,1
66091,12,4,10,12,1
66092,8,7,12,3,1
66093,15,3,9,20,1
66094,7,6,12,23,1
66095,10,6,12,23,1
66096,8,7,1,22,1
66097,18,3,6,7,1
66098,8,4,8,10,1
66099,8,3,8,9,1
66100,17,1,10,2,1
66101,16,7,11,26,1
66103,14,3,2,1,1
66104,5,1,9,25,1
66106,13,3,9,27,1
66108,7,5,4,7,1
66109,19,7,1,1,1
66110,18,4,6,22,1
66111,12,7,11,12,1
66112,17,7,9,17,1
66116,21,6,4,8,1
66117,23,2,6,13,1
66118,23,2,6,13,1
66119,20,6,11,25,1
66120,22,5,10,20,1
66121,21,5,2,24,1
66122,3,4,5,18,1
66123,10,5,1,27,1
66124,22,7,2,26,1
66125,15,2,10,31,1
66127,14,4,12,14,1
66128,12,3,3,15,1
66129,2,6,6,24,1
66130,2,7,4,23,1
66131,21,1,2,6,1
66132,2,7,9,3,1
66133,15,2,10,17,1
66136,13,7,4,30,1
66137,8,6,1,21,1
66138,17,3,2,1,1
66139,19,1,6,5,1
66141,13,6,6,10,1
66142,23,7,7,16,1
66143,22,7,7,30,1
66144,18,7,8,6,1
66145,17,2,4,11,1
66146,10,7,4,2,1
66147,0,2,6,13,1
66148,0,2,6,13,1
66149,17,5,6,16,1
66151,2,7,8,6,1
66152,20,4,10,5,1
66153,18,3,10,25,1
66155,17,6,1,7,1
66156,22,1,2,6,1
66157,17,1,8,7,1
66158,21,2,10,3,1
66159,21,5,12,29,1
66160,21,5,12,29,1
66162,20,1,6,26,1
66163,8,7,6,25,1
66164,17,1,10,9,1
66165,17,1,10,9,1
66167,13,5,12,15,1
66168,13,5,12,15,1
66169,7,7,6,25,1
66170,0,4,12,14,1
66171,13,1,4,10,1
66172,19,6,4,29,1
66173,18,7,4,9,1
66174,7,2,11,14,1
66175,17,6,10,28,1
66176,21,6,12,9,1
66178,21,4,8,31,1
66179,1,6,7,22,1
66180,1,6,7,22,1
66181,16,7,8,6,1
66182,0,7,10,15,1
66183,18,4,4,6,1
66184,16,4,6,29,1
66185,16,4,6,29,1
66186,18,7,6,4,1
66187,18,1,8,28,1
66188,9,5,12,22,1
66189,2,7,1,15,1
66190,22,6,6,24,1
66192,22,4,11,23,1
66193,0,6,3,18,1
66194,21,7,7,2,1
66195,0,7,8,13,1
66196,2,1,12,4,1
66197,23,4,6,15,1
66198,21,6,11,18,1
66200,0,1,12,11,1
66201,2,7,7,30,1
66204,20,3,7,5,1
66205,22,3,3,22,1
66206,17,4,4,20,1
66208,2,1,2,27,1
66209,10,7,4,23,1
66210,10,7,4,23,1
66211,19,6,5,20,1
66212,9,2,3,7,1
66213,23,7,5,7,1
66214,23,2,8,15,1
66215,23,2,8,15,1
66216,8,2,6,20,1
66217,17,1,6,26,1
66218,12,1,9,18,1
66219,21,2,7,25,1
66220,17,2,11,14,1
66221,23,7,11,19,1
66222,17,6,12,9,1
66223,22,7,9,17,1
66224,14,7,2,5,1
66225,0,2,11,7,1
66226,4,6,8,12,1
66229,19,3,3,1,1
66230,21,3,3,29,1
66233,17,5,6,9,1
66234,21,5,6,23,1
66235,21,1,12,25,1
66236,20,4,3,2,1
66237,23,6,5,27,1
66238,14,2,7,4,1
66241,20,3,5,17,1
66242,8,7,1,22,1
66243,18,3,6,7,1
66244,8,4,8,10,1
66246,16,4,8,17,1
66248,2,5,11,3,1
66250,18,4,6,22,1
66252,18,3,1,18,1
66253,16,3,9,6,1
66254,21,2,11,7,1
66255,18,2,2,7,1
66256,20,6,11,25,1
66257,3,5,12,29,1
66258,13,1,11,6,1
66259,3,4,5,18,1
66260,2,1,10,9,1
66261,22,7,2,26,1
66262,15,2,10,31,1
66263,20,4,11,16,1
66265,20,4,8,3,1
66266,20,4,3,16,1
66267,18,5,5,19,1
66268,11,3,5,31,1
66269,20,5,8,25,1
