,acchr,dayofweek,accmon,accday,num
2,18,6,6,17,1
3,18,6,6,17,1
43,22,2,12,12,1
45,17,5,12,29,1
59,12,6,5,13,1
86,2,7,10,29,1
89,17,5,12,29,1
104,9,5,8,18,1
118,14,6,5,27,1
135,10,4,5,4,1
165,2,1,11,6,1
166,2,1,11,6,1
167,13,5,4,7,1
189,9,5,1,20,1
197,22,2,12,12,1
239,4,7,3,19,1
244,11,2,10,10,1
248,19,4,6,22,1
254,14,3,2,8,1
258,17,5,12,29,1
263,13,5,4,7,1
266,9,5,8,18,1
292,20,1,8,14,1
309,2,1,11,6,1
311,19,5,8,4,1
315,21,4,11,2,1
356,22,7,7,30,1
362,22,6,7,29,1
372,18,6,6,17,1
400,17,1,4,24,1
405,9,5,8,18,1
406,21,4,11,2,1
407,21,4,11,2,1
445,22,6,7,29,1
447,11,2,10,10,1
451,10,4,5,4,1
456,14,3,2,8,1
492,12,5,12,8,1
503,18,7,8,6,1
521,18,7,8,6,1
528,22,2,12,12,1
532,22,6,11,11,1
540,16,7,5,21,1
547,1,3,6,28,1
549,18,7,8,6,1
558,2,7,10,29,1
562,17,5,12,29,1
568,7,1,3,20,1
569,22,4,7,27,1
570,0,1,11,27,1
571,0,1,11,27,1
572,0,1,11,27,1
577,23,6,8,26,1
578,23,6,8,26,1
583,16,7,5,21,1
598,3,1,11,13,1
599,3,1,11,13,1
600,3,1,11,13,1
604,2,7,10,29,1
613,7,1,3,20,1
626,16,7,5,21,1
638,22,4,7,27,1
655,20,1,8,14,1
660,22,7,2,26,1
667,22,7,7,30,1
671,22,7,2,26,1
672,22,7,2,26,1
673,22,7,10,29,1
674,22,7,10,29,1
676,19,4,8,31,1
688,13,7,4,9,1
689,11,2,10,10,1
697,22,7,10,29,1
701,4,7,3,19,1
707,14,6,5,27,1
734,4,7,3,19,1
787,22,4,7,27,1
788,22,4,7,27,1
789,19,5,8,4,1
813,12,5,12,8,1
820,1,3,7,19,1
825,18,3,6,14,1
826,18,3,6,14,1
828,14,6,5,27,1
870,19,4,6,22,1
872,19,4,6,22,1
918,12,5,12,8,1
927,1,3,7,19,1
928,1,3,7,19,1
975,10,4,5,4,1
1010,3,7,7,23,1
1011,3,7,7,23,1
1013,19,4,8,31,1
1052,19,4,6,22,1
1076,17,1,4,24,1
1079,7,1,3,20,1
1080,13,5,4,7,1
1083,22,4,7,27,1
1090,22,6,11,11,1
1091,22,6,11,11,1
1092,12,6,5,13,1
1093,12,6,5,13,1
1097,19,4,8,31,1
1159,9,5,1,20,1
1204,0,1,10,23,1
1212,7,2,10,31,1
1251,1,3,6,28,1
1273,9,5,1,20,1
1274,20,1,8,14,1
1275,20,1,8,14,1
1322,1,3,6,28,1
1323,1,3,6,28,1
1326,23,6,8,26,1
1399,13,5,4,7,1
1407,0,1,10,23,1
1430,1,3,7,19,1
1444,1,3,6,28,1
1505,1,3,6,28,1
1553,22,7,7,30,1
1571,19,4,6,22,1
1574,14,3,2,8,1
1576,13,7,4,2,1
1577,13,7,4,2,1
1614,7,2,10,31,1
1674,13,7,4,9,1
1675,13,7,4,9,1
1676,13,7,4,9,1
1680,22,6,7,29,1
1694,13,7,4,2,1
1736,17,1,4,24,1
1740,19,5,8,4,1
1746,0,1,10,23,1
1750,7,2,10,31,1
1798,8,2,7,18,1
1831,8,4,1,19,1
1833,13,1,5,1,1
1852,18,4,7,6,1
1853,11,4,6,22,1
1855,20,6,8,26,1
1885,14,7,5,21,1
1886,11,5,6,2,1
1888,6,3,11,1,1
1900,7,2,11,28,1
1903,16,1,4,17,1
1905,11,3,6,28,1
1909,20,7,11,26,1
1911,13,2,8,15,1
1917,16,4,10,26,1
1919,15,3,5,10,1
1925,11,7,10,29,1
1930,14,7,2,19,1
1933,6,6,9,23,1
1936,22,5,1,27,1
1956,13,6,10,7,1
1958,13,7,12,3,1
1991,14,6,5,20,1
2012,12,6,2,11,1
2044,23,2,9,5,1
2047,21,3,10,18,1
2066,20,5,12,29,1
2073,16,7,4,9,1
2144,13,7,3,5,1
2166,7,6,8,19,1
2170,19,2,10,10,1
2177,0,7,3,5,1
2186,21,2,10,10,1
2188,5,2,10,17,1
2192,9,1,12,11,1
2206,18,7,10,1,1
2207,15,2,12,12,1
2208,19,5,1,13,1
2209,15,1,2,6,1
2229,5,4,6,8,1
2231,0,5,6,2,1
2258,15,5,7,28,1
2265,0,7,2,5,1
2267,6,2,8,15,1
2276,19,6,3,25,1
2282,17,2,7,18,1
2283,11,7,7,9,1
2285,17,7,9,10,1
2299,11,3,2,1,1
2308,13,4,6,8,1
2309,19,5,7,21,1
2315,14,4,12,21,1
2316,0,7,1,15,1
2319,13,1,2,27,1
2326,22,1,7,31,1
2338,10,6,11,4,1
2340,21,6,12,2,1
2363,16,7,5,7,1
2399,17,2,8,29,1
2411,14,1,1,23,1
2421,17,3,4,19,1
2427,14,4,6,8,1
2434,2,7,9,10,1
2455,7,5,2,17,1
2467,17,6,6,24,1
2472,11,4,8,17,1
2477,19,7,6,25,1
2487,14,1,11,27,1
2490,17,5,11,17,1
2514,4,7,12,3,1
2520,19,1,3,6,1
2528,99,1,11,13,1
2571,18,1,9,11,1
2572,15,5,9,29,1
2573,10,7,10,29,1
2574,7,2,11,7,1
2604,3,7,4,23,1
2620,19,3,9,27,1
2656,20,1,9,4,1
2660,8,6,1,21,1
2673,23,2,4,4,1
2675,14,2,5,30,1
2689,15,2,4,25,1
2696,19,2,7,18,1
2697,17,3,8,16,1
2709,2,7,4,9,1
2713,0,6,7,29,1
2715,7,4,8,17,1
2718,10,7,12,10,1
2739,10,2,12,5,1
2751,9,1,12,11,1
2753,6,3,1,4,1
2756,18,5,2,3,1
2786,5,5,6,30,1
2805,13,6,10,14,1
2810,15,6,11,4,1
2818,10,6,12,9,1
2820,10,6,12,16,1
2870,20,3,11,1,1
2874,19,4,1,12,1
2893,23,7,11,5,1
2907,18,3,2,15,1
2915,18,4,5,11,1
2921,14,5,8,11,1
2922,16,5,6,30,1
2923,16,3,9,20,1
2925,17,2,8,22,1
2935,9,3,5,3,1
2941,1,3,8,2,1
2952,8,3,11,8,1
2973,11,3,4,5,1
2977,15,4,6,1,1
2984,19,7,9,24,1
2986,14,1,10,16,1
2987,7,4,10,26,1
3060,16,1,7,10,1
3076,15,4,10,5,1
3077,19,6,10,7,1
3079,10,2,12,5,1
3080,7,5,2,24,1
3082,7,3,3,15,1
3088,19,7,4,9,1
3093,7,4,6,22,1
3103,10,7,10,15,1
3105,0,6,11,25,1
3132,21,6,10,14,1
3196,18,7,2,19,1
3197,7,5,3,24,1
3198,6,5,4,7,1
3203,21,5,5,5,1
3207,1,1,5,8,1
3209,15,4,6,29,1
3252,6,4,1,12,1
3254,15,3,3,22,1
3272,13,4,3,23,1
3276,21,2,7,11,1
3279,2,5,1,27,1
3283,21,2,1,31,1
3288,17,3,4,19,1
3292,22,3,5,17,1
3303,19,5,8,4,1
3304,9,4,8,24,1
3306,22,5,10,13,1
3323,15,3,3,29,1
3328,20,3,10,11,1
3329,18,3,10,11,1
3333,13,7,10,1,1
3345,18,5,2,3,1
3348,18,6,4,15,1
3370,14,3,11,15,1
3389,17,1,5,22,1
3402,9,1,8,7,1
3424,6,1,5,22,1
3428,15,5,3,10,1
3449,15,3,6,21,1
3453,20,2,1,3,1
3454,16,3,2,8,1
3455,7,1,2,27,1
3456,15,4,7,20,1
3464,21,5,4,14,1
3468,16,1,7,3,1
3482,18,1,1,16,1
3505,15,1,5,15,1
3509,19,6,6,10,1
3519,16,4,8,24,1
3526,22,7,9,17,1
3527,6,7,10,22,1
3546,13,3,3,8,1
3553,20,6,3,25,1
3560,13,6,6,17,1
3567,18,4,10,12,1
3596,14,7,6,4,1
3611,6,2,10,3,1
3613,9,7,10,15,1
3617,19,2,12,5,1
3661,5,2,5,2,1
3665,17,2,5,16,1
3672,8,3,5,31,1
3675,23,2,5,30,1
3681,4,3,6,14,1
3710,20,7,6,25,1
3721,5,6,7,1,1
3732,20,4,9,7,1
3743,7,7,10,8,1
3775,18,6,12,2,1
3776,15,2,12,5,1
3806,11,3,6,21,1
3823,13,7,5,28,1
3937,8,7,12,3,1
3940,18,1,1,16,1
3949,7,6,4,1,1
