,acchr,dayofweek,accmon,accday,num
0,17,3,3,22,1
4,23,6,10,7,1
11,15,7,1,29,1
12,15,7,1,29,1
14,18,6,12,16,1
17,19,1,12,25,1
38,13,2,5,30,1
39,13,7,5,14,1
44,20,7,7,2,1
45,17,5,12,29,1
48,5,2,7,4,1
49,5,2,7,4,1
53,11,1,1,16,1
56,15,3,12,6,1
59,12,6,5,13,1
72,16,4,5,4,1
83,8,1,10,30,1
84,8,1,10,30,1
88,20,7,7,2,1
90,12,6,8,19,1
92,5,2,7,4,1
94,20,1,6,5,1
103,12,1,7,17,1
106,0,1,7,3,1
107,14,2,12,5,1
116,5,3,9,13,1
126,16,3,1,11,1
142,5,2,11,7,1
147,20,4,8,3,1
149,2,1,10,16,1
150,6,5,2,24,1
151,6,5,2,24,1
152,6,5,2,24,1
156,20,3,4,26,1
161,7,2,9,19,1
162,7,2,9,19,1
189,9,5,1,20,1
192,19,1,12,25,1
200,20,4,8,3,1
202,18,2,7,11,1
231,16,7,4,2,1
245,18,6,12,16,1
252,4,1,10,23,1
254,14,3,2,8,1
257,20,4,8,3,1
259,11,6,6,24,1
263,13,5,4,7,1
287,17,5,2,17,1
291,19,7,5,28,1
292,20,1,8,14,1
299,5,2,11,7,1
310,10,7,6,4,1
312,5,7,9,3,1
323,18,7,10,1,1
325,9,3,12,27,1
334,9,6,7,1,1
336,14,4,9,28,1
348,5,6,9,2,1
350,16,4,5,4,1
354,16,6,6,17,1
356,22,7,7,30,1
370,3,2,6,6,1
372,18,6,6,17,1
374,19,2,8,1,1
375,19,2,8,1,1
396,11,2,3,21,1
397,15,5,6,30,1
400,17,1,4,24,1
410,0,2,11,14,1
420,7,5,9,8,1
421,7,5,9,8,1
434,17,3,3,22,1
435,7,5,10,13,1
436,10,6,3,18,1
441,13,2,8,8,1
443,19,7,5,28,1
445,22,6,7,29,1
454,5,5,2,3,1
456,14,3,2,8,1
466,13,5,2,24,1
469,12,3,4,19,1
473,7,2,9,19,1
474,18,1,10,9,1
477,13,4,3,9,1
495,4,7,12,3,1
496,16,1,6,19,1
1784,8,3,8,30,1
1785,21,5,3,10,1
1791,18,1,2,6,1
1792,17,1,1,16,1
1793,20,7,9,24,1
1812,18,1,11,6,1
1813,21,4,7,20,1
1814,20,2,10,31,1
1828,15,2,11,28,1
1836,18,5,1,27,1
1853,11,4,6,22,1
1854,16,2,7,4,1
1855,20,6,8,26,1
1871,17,1,9,11,1
1873,12,2,7,25,1
1875,18,1,5,8,1
1878,12,7,8,13,1
1884,18,4,8,10,1
1885,14,7,5,21,1
