,acchr,dayofweek,accmon,accday,num
0,17,3,3,22,1
2,18,6,6,17,1
9,10,1,6,26,1
13,2,1,6,19,1
14,18,6,12,16,1
17,19,1,12,25,1
19,11,2,9,5,1
23,10,1,6,26,1
24,15,7,3,26,1
26,21,5,3,31,1
27,11,3,8,2,1
30,6,2,9,19,1
31,3,7,4,30,1
34,17,7,4,16,1
35,22,7,5,7,1
37,13,1,12,25,1
44,20,7,7,2,1
45,17,5,12,29,1
52,20,2,3,21,1
56,15,3,12,6,1
57,15,3,12,6,1
59,12,6,5,13,1
62,8,4,11,9,1
72,16,4,5,4,1
73,22,2,6,13,1
76,3,1,8,28,1
88,20,7,7,2,1
97,20,2,3,21,1
101,12,2,3,14,1
102,12,1,7,17,1
103,12,1,7,17,1
104,9,5,8,18,1
107,14,2,12,5,1
111,8,4,11,9,1
115,15,7,3,26,1
116,5,3,9,13,1
119,20,3,9,20,1
122,23,3,2,15,1
126,16,3,1,11,1
127,0,6,5,20,1
130,14,6,6,17,1
131,3,1,8,28,1
133,3,4,2,23,1
135,10,4,5,4,1
142,5,2,11,7,1
144,13,5,1,20,1
146,21,6,11,18,1
147,20,4,8,3,1
156,20,3,4,26,1
157,20,3,4,26,1
160,11,2,9,5,1
161,7,2,9,19,1
162,7,2,9,19,1
163,8,1,9,11,1
164,18,3,12,20,1
168,0,2,8,8,1
172,11,6,11,11,1
180,21,3,4,5,1
182,6,2,9,19,1
186,16,5,10,20,1
188,8,3,10,11,1
189,9,5,1,20,1
192,19,1,12,25,1
193,10,1,5,8,1
194,10,1,5,8,1
195,10,1,5,8,1
200,20,4,8,3,1
204,11,2,9,5,1
207,18,3,12,20,1
208,18,3,12,20,1
210,23,4,8,10,1
230,11,3,8,2,1
245,18,6,12,16,1
251,4,1,10,23,1
252,4,1,10,23,1
254,14,3,2,8,1
257,20,4,8,3,1
263,13,5,4,7,1
269,11,7,7,30,1
277,18,7,3,5,1
279,3,7,6,11,1
287,17,5,2,17,1
291,19,7,5,28,1
292,20,1,8,14,1
297,4,1,10,23,1
299,5,2,11,7,1
304,15,6,4,22,1
306,15,3,3,8,1
307,7,2,9,19,1
308,18,3,12,20,1
314,11,7,7,30,1
320,17,6,4,8,1
322,15,7,6,25,1
