,acchr,dayofweek,accmon,accday,num
10303,15,7,1,15,1
10305,22,4,1,26,1
10309,17,1,1,9,1
10319,18,3,3,15,1
10323,7,6,4,8,1
10324,10,7,4,9,1
10331,6,2,5,16,1
10333,8,2,5,23,1
10336,10,7,5,21,1
10345,11,4,6,15,1
10348,18,3,3,29,1
10350,13,7,7,2,1
10351,14,6,7,8,1
10353,17,2,7,18,1
10354,17,7,7,23,1
10355,9,7,7,30,1
10358,16,2,8,8,1
10361,11,6,8,19,1
10362,17,7,8,20,1
10364,20,2,8,29,1
10365,12,7,8,27,1
10366,14,7,9,3,1
10367,12,4,9,14,1
10370,16,5,9,22,1
10371,12,2,9,26,1
10372,12,2,10,3,1
10373,9,6,10,7,1
10375,10,4,10,19,1
10377,8,2,11,21,1
10378,7,4,11,9,1
10381,11,3,11,29,1
10382,20,4,12,14,1
10388,17,3,12,27,1
10390,13,6,3,18,1
10392,17,2,5,9,1
10407,5,3,1,18,1
10409,7,2,2,14,1
10412,19,2,3,7,1
10415,19,7,3,26,1
10416,12,1,3,27,1
10417,17,3,2,15,1
10421,4,5,3,3,1
10424,11,4,4,6,1
10426,0,1,5,1,1
10430,17,3,4,26,1
10432,12,4,5,25,1
10434,22,6,5,27,1
10435,16,3,2,22,1
10436,9,5,6,2,1
10437,21,5,6,23,1
10439,10,6,6,10,1
10441,10,6,7,1,1
10442,20,6,7,1,1
10443,7,2,7,4,1
10444,8,6,7,15,1
10445,7,4,7,20,1
10446,15,6,7,15,1
10448,23,7,8,6,1
10449,19,7,8,13,1
10451,12,1,9,18,1
10452,1,7,9,24,1
10461,12,2,10,17,1
10462,18,3,10,18,1
10465,15,3,10,11,1
10469,14,7,11,12,1
10473,10,2,11,28,1
10474,99,3,12,6,1
10478,13,4,12,21,1
10479,22,5,12,29,1
10480,7,4,11,9,1
10485,7,3,11,29,1
10488,12,6,12,30,1
10491,10,3,1,25,1
10492,6,6,2,4,1
10493,6,6,2,4,1
10502,14,4,3,16,1
10506,4,6,4,1,1
10507,12,1,4,3,1
10509,18,7,4,9,1
10512,1,1,5,1,1
10514,11,4,5,4,1
10516,21,5,5,5,1
10520,18,7,5,28,1
10521,9,3,5,31,1
10527,12,2,6,6,1
10528,13,5,6,9,1
10532,16,2,6,27,1
10534,15,3,7,5,1
10536,9,6,7,15,1
10540,10,7,7,23,1
10541,15,7,7,30,1
10544,9,5,8,11,1
10545,15,1,8,14,1
10547,15,6,8,26,1
10548,6,6,9,9,1
10549,10,3,9,20,1
10551,2,4,9,21,1
10554,13,6,9,23,1
10555,16,1,9,25,1
10560,15,3,10,11,1
10562,15,4,10,26,1
10567,7,1,11,13,1
10568,8,4,11,16,1
10572,19,7,12,3,1
10575,12,6,12,30,1
10576,6,5,12,8,1
10578,8,4,1,5,1
10579,11,4,1,5,1
10584,16,2,1,10,1
10587,19,2,1,10,1
10589,23,3,1,11,1
10590,17,4,1,12,1
10594,7,7,1,15,1
10595,12,7,1,15,1
10597,8,4,1,19,1
10598,4,6,1,21,1
10599,15,2,1,17,1
10606,10,6,1,21,1
10612,11,3,2,1,1
10614,20,7,2,5,1
10616,12,4,2,2,1
10618,5,7,2,5,1
10620,22,3,2,8,1
10624,12,7,1,22,1
10626,14,3,2,15,1
10629,14,5,2,17,1
10633,8,5,2,17,1
10640,14,3,2,15,1
10641,23,6,2,25,1
10644,0,7,2,5,1
10645,12,2,2,21,1
10647,14,4,2,23,1
10649,18,5,2,10,1
10651,9,2,1,10,1
10660,11,5,3,17,1
10662,6,6,3,18,1
10663,9,6,3,18,1
10670,14,4,3,2,1
10671,21,1,3,6,1
10672,5,5,3,10,1
10673,9,5,3,10,1
10674,8,2,3,14,1
10682,9,4,4,13,1
10684,14,4,1,19,1
10685,18,1,1,23,1
10686,15,3,4,12,1
10695,4,5,5,12,1
10697,10,1,5,8,1
10699,9,2,4,18,1
10702,8,4,5,4,1
10705,11,4,4,27,1
10707,12,3,5,24,1
10708,17,3,5,24,1
10710,23,4,5,25,1
10712,15,5,5,26,1
10715,11,3,5,17,1
10716,18,3,5,17,1
10718,10,4,5,25,1
10719,11,2,5,30,1
10722,23,1,5,29,1
10726,11,4,6,8,1
10727,3,7,6,4,1
10730,5,2,6,6,1
10732,22,5,6,16,1
10734,9,2,6,13,1
10736,11,2,5,9,1
10737,13,6,6,3,1
10750,16,3,7,19,1
10753,17,1,6,12,1
10762,11,2,7,4,1
10763,14,4,7,6,1
10764,0,5,7,7,1
10765,17,6,7,8,1
10767,19,1,7,10,1
10772,9,4,8,17,1
10773,14,1,8,7,1
10777,15,7,6,18,1
10778,18,1,6,19,1
10779,9,2,6,20,1
10782,18,4,6,22,1
10786,5,2,8,8,1
10788,4,1,7,24,1
10794,13,1,7,31,1
10795,21,3,8,16,1
10798,14,3,8,2,1
10800,0,4,6,15,1
10801,17,6,7,8,1
10803,17,2,4,25,1
10804,14,3,7,26,1
10806,23,2,8,15,1
10818,15,1,8,14,1
10824,2,2,9,12,1
10829,9,1,8,14,1
10835,15,7,9,17,1
10836,10,7,9,24,1
10838,15,4,9,21,1
10843,16,2,10,10,1
10851,14,2,10,17,1
10852,18,2,10,17,1
10854,13,5,9,15,1
10855,4,6,9,16,1
10857,8,1,9,18,1
10858,18,1,9,18,1
10859,3,2,9,19,1
10860,9,2,9,19,1
10861,15,3,9,20,1
10863,14,6,9,23,1
10864,22,7,10,1,1
10867,11,7,10,8,1
10869,7,1,10,9,1
10874,11,6,10,14,1
10877,5,6,10,21,1
10878,16,7,10,29,1
10882,14,3,11,8,1
10884,20,4,8,31,1
10886,9,1,9,18,1
10896,12,3,9,13,1
10906,0,2,12,5,1
10908,20,2,10,24,1
10910,1,1,10,30,1
10911,4,1,10,30,1
10912,15,3,11,1,1
10918,22,5,12,15,1
10923,7,3,11,8,1
10927,15,7,10,15,1
10929,0,4,12,21,1
10930,12,5,12,22,1
10932,14,2,12,26,1
10933,11,3,12,27,1
10934,10,2,8,29,1
10937,9,7,12,10,1
10938,14,7,12,10,1
10940,16,4,12,14,1
10942,6,2,11,21,1
10944,10,5,12,1,1
10945,18,7,12,3,1
10946,19,3,12,6,1
10947,14,5,12,8,1
10958,11,5,12,22,1
10960,7,1,12,25,1
10963,16,1,10,2,1
10965,11,7,11,26,1
10978,10,6,3,18,1
10979,17,3,10,25,1
10980,13,3,1,18,1
10989,6,3,1,25,1
10999,17,2,5,16,1
11001,14,5,6,2,1
11006,17,3,6,21,1
11008,13,4,7,6,1
11011,14,4,7,13,1
11012,13,7,7,16,1
11013,13,1,7,24,1
11014,12,1,7,31,1
11015,15,7,7,23,1
11016,18,4,8,3,1
11017,15,6,8,5,1
11018,10,1,8,7,1
11019,11,4,8,24,1
11020,11,3,8,30,1
11022,12,1,8,21,1
11023,11,4,8,17,1
11025,13,3,9,13,1
11026,17,3,9,13,1
11029,15,7,10,1,1
11030,18,2,10,10,1
11035,9,6,11,11,1
11036,11,4,11,16,1
11037,8,5,11,24,1
11038,18,6,11,25,1
11041,10,5,12,29,1
11045,12,2,4,4,1
11046,13,6,5,13,1
11047,19,5,1,6,1
11050,16,2,6,20,1
11054,10,6,8,19,1
11056,12,2,9,12,1
11057,12,2,5,16,1
11059,18,4,6,15,1
11060,7,3,10,18,1
11068,6,2,12,26,1
11069,15,4,12,28,1
11070,12,7,3,12,1
11072,16,5,2,17,1
11073,8,6,5,6,1
11074,17,4,11,30,1
11075,7,2,12,12,1
11078,14,3,1,4,1
11080,6,2,1,24,1
11081,19,2,1,31,1
11082,1,6,3,4,1
11084,6,3,1,11,1
11085,19,6,1,28,1
11089,19,6,2,18,1
11093,6,2,2,14,1
11095,0,6,3,4,1
11099,17,6,4,1,1
11100,15,4,2,23,1
11102,15,4,3,9,1
11103,12,1,3,20,1
11109,20,7,4,2,1
11110,1,6,4,8,1
11112,15,2,4,11,1
11113,13,5,4,14,1
11115,11,6,4,22,1
11117,16,4,1,12,1
11123,14,1,1,9,1
11126,21,7,4,2,1
11127,11,5,4,7,1
11128,10,5,4,7,1
11132,11,1,4,24,1
11134,17,4,5,4,1
