,acchr,dayofweek,accmon,accday,num
1787,14,4,1,26,1
1790,7,5,11,10,1
1794,19,3,4,19,1
1795,17,7,7,9,1
1798,8,2,7,18,1
1800,18,2,10,31,1
1801,10,7,1,22,1
1802,9,1,1,30,1
1803,18,2,3,7,1
1806,18,4,7,13,1
1808,13,7,10,29,1
1810,19,5,4,7,1
1811,9,1,4,24,1
1817,11,4,3,9,1
1818,19,6,6,10,1
1821,11,7,11,19,1
1823,13,4,12,7,1
1824,8,4,3,30,1
1825,21,5,7,21,1
1826,13,3,7,5,1
1827,17,5,11,24,1
1829,16,2,12,26,1
1830,21,2,8,1,1
1833,13,1,5,1,1
1834,21,2,7,4,1
1837,21,1,6,26,1
1838,20,1,7,10,1
1839,15,4,9,14,1
1842,7,7,10,1,1
1845,20,1,4,17,1
1846,22,5,7,21,1
1847,17,2,6,13,1
1848,20,4,10,5,1
1849,20,7,10,15,1
1850,23,3,12,20,1
1851,10,5,12,15,1
1852,18,4,7,6,1
1858,16,1,5,15,1
1859,16,4,8,3,1
1861,8,4,9,28,1
1862,12,7,10,22,1
1867,20,2,5,16,1
1869,20,7,3,5,1
1872,14,1,2,20,1
1877,18,3,10,18,1
1879,12,5,9,8,1
1880,16,5,6,16,1
1881,16,2,5,30,1
1882,14,4,6,1,1
1883,15,4,5,11,1
1886,11,5,6,2,1
1889,8,6,3,4,1
1891,15,5,4,14,1
1897,19,3,6,28,1
1898,6,1,8,7,1
1900,7,2,11,28,1
1905,11,3,6,28,1
1912,20,6,8,19,1
1916,20,2,7,18,1
1917,16,4,10,26,1
1918,18,1,9,4,1
1919,15,3,5,10,1
1922,16,6,2,11,1
1925,11,7,10,29,1
1929,10,6,7,8,1
1931,12,4,6,15,1
1934,7,4,7,20,1
1935,12,1,12,25,1
1937,14,6,9,9,1
1938,1,2,12,26,1
1948,23,6,4,15,1
1956,13,6,10,7,1
1964,11,1,2,20,1
1969,18,2,5,30,1
1972,16,5,7,28,1
1989,12,5,5,5,1
1991,14,6,5,20,1
1997,16,5,9,1,1
2005,19,6,1,14,1
2008,7,5,2,10,1
2012,12,6,2,11,1
2014,2,3,4,12,1
2016,22,7,4,16,1
2018,4,1,1,9,1
2021,8,4,2,9,1
2022,14,4,5,18,1
2028,18,1,4,10,1
2031,17,3,7,19,1
2037,19,5,6,23,1
2038,1,2,2,14,1
2043,4,2,6,27,1
2044,23,2,9,5,1
2045,21,2,10,3,1
2053,8,4,10,5,1
2056,18,3,11,15,1
2057,18,4,11,23,1
2058,1,1,9,18,1
2064,18,4,11,9,1
2067,7,3,7,19,1
2070,9,1,1,2,1
2073,16,7,4,9,1
2074,20,2,5,2,1
2077,17,6,12,30,1
2079,14,7,8,13,1
2091,16,5,1,27,1
2094,20,5,8,11,1
2099,6,4,10,5,1
2103,19,2,10,24,1
2105,20,4,10,12,1
2111,20,1,12,11,1
2116,19,6,1,14,1
2118,15,2,2,14,1
2131,6,2,7,4,1
2133,1,2,10,10,1
2138,14,3,9,20,1
2141,0,6,10,28,1
2143,10,2,5,9,1
2148,18,4,3,23,1
2150,22,6,5,6,1
2151,20,2,5,16,1
2152,16,5,5,26,1
2154,23,2,6,6,1
2159,0,3,6,21,1
2161,13,7,7,9,1
2162,19,6,7,22,1
2169,0,3,9,27,1
2170,19,2,10,10,1
2175,18,5,2,24,1
2176,20,1,2,27,1
2188,5,2,10,17,1
2192,9,1,12,11,1
2204,4,3,7,19,1
2207,15,2,12,12,1
2211,15,7,2,26,1
2224,21,7,4,2,1
2236,17,6,10,28,1
2240,21,5,2,10,1
2250,18,4,2,16,1
2251,22,4,2,9,1
2252,13,2,2,14,1
2258,15,5,7,28,1
2259,21,6,7,8,1
2262,20,5,5,19,1
2263,7,4,10,12,1
2267,6,2,8,15,1
2272,9,6,1,28,1
2274,19,6,2,4,1
2275,0,3,2,22,1
2281,7,4,6,15,1
2282,17,2,7,18,1
2287,16,5,10,13,1
2292,1,5,11,24,1
2293,14,4,11,9,1
2294,3,7,11,5,1
2297,17,4,12,28,1
2298,13,1,1,9,1
2300,13,3,6,14,1
2304,16,4,10,5,1
2305,16,6,10,7,1
2308,13,4,6,8,1
2312,14,5,9,1,1
2317,13,2,1,10,1
2319,13,1,2,27,1
2323,15,6,5,27,1
2337,10,6,10,7,1
2340,21,6,12,2,1
2345,19,3,7,5,1
2348,16,6,9,2,1
2351,10,4,12,28,1
2360,13,3,2,8,1
2379,19,1,9,25,1
2382,19,6,10,7,1
2387,7,2,1,10,1
2395,12,3,6,28,1
2406,15,4,12,7,1
2407,8,1,12,11,1
2411,14,1,1,23,1
2418,20,5,3,3,1
2420,3,3,4,26,1
2421,17,3,4,19,1
2422,11,7,4,16,1
2423,8,6,4,1,1
2426,18,2,5,9,1
2427,14,4,6,8,1
2429,13,7,6,25,1
2431,16,3,7,26,1
2432,19,6,7,1,1
2434,2,7,9,10,1
2435,11,6,8,5,1
2438,11,3,10,11,1
2439,21,6,10,7,1
2440,14,7,10,8,1
2445,11,7,12,10,1
2447,8,6,1,14,1
2449,21,4,7,27,1
2452,17,1,12,25,1
2453,14,3,1,11,1
2456,18,3,3,1,1
2464,17,6,4,22,1
2471,23,7,6,4,1
2472,11,4,8,17,1
2473,21,6,9,2,1
2479,11,3,11,1,1
2480,19,5,11,3,1
